,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
115,Giáo Trình Âm Học Kiến Trúc,https://salt.tikicdn.com/cache/280x280/ts/product/09/ab/ce/5e65f3288a9bf25ef7d42a65a81e716e.jpg,Đại học – cao đẳng – thcn,TS.Nguyễn Anh Tuấn,"Kiến trúc là một bộ môn nằm ở ranh giới mỏng manh giữa một bên là nghệ thuật và một bên là khoa học kỹ thuật. Từ bao đời nay khi tiếp cận với kiến trúc xây dựng, con người đã đụng chạm tới cái ranh gi...",178200,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27,Bìa mềm,389,,,,,
116,Giáo Trình Điện Tử Công Suất Mạch Biến Đổi Điện Áp,https://salt.tikicdn.com/cache/280x280/ts/product/b8/03/a9/74cebef3bb5f22d97f6483638145685c.jpg,Đại học – cao đẳng – thcn,"TS.Quách Thanh Hải,ThS.Lê Nguyễn Hồng Phong,KS.Phạm Quang Huy","Điện tử công suất là môn học ngoài việc nghiên cứu bản chất vật lý, các quá trình diễn ra trong các linh kiện điện tử công suất như Diode, Thyristor, GTO, Triac, Mosfet công suất, IGBT, SID, MCT làm v...",118400,Công Ty TNHH Thương Mại STK,,16 x 24 cm,Bìa mềm,392,Nhà Xuất Bản Thanh Niên,,,,
117,Gió Và Tác Động Của Gió Lên Công Trình,https://salt.tikicdn.com/cache/280x280/ts/product/18/35/ce/288d8c17ea2d5aecae0c9daa73cea4e5.jpg,Đại học – cao đẳng – thcn,GS. TS Hoàng Nam,"Gió Và Tác Động Của Gió Lên Công TrìnhBão, lụt là một trong những thiên tai gây thiệt hại rất lớn cho con người (sinh mạng), mùa màng, nhà cửa và các công trình hạ tầng kỹ thuật khác của nhà nước và ...",109300,NXB Xây Dựng,,17 x 24 cm,Bìa mềm,210,Nhà Xuất Bản Xây Dựng,,,,
118,Thị Trường Tài Chính,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/h/thi-truong-tai-chinh-tai-ban.jpg,Đại học – cao đẳng – thcn,Nhiều Tác Giả,"Thị Trường Tài Chính Khi nền kinh tế hàng hóa phát triển tới một trình độ nhất định, tất yếu sẽ hình thành các loại thị trường để phục vụ các nhu cầu của nền kinh tế. Trong các loại thị trường đó, th...",82000,Hương Huy,2012-09-20 00:00:00,16 x 24 cm,Bìa mềm,326,Nhà Xuất Bản Phương Đông,,,,
119,Giáo Trình Thực Hành Lái Xe Cơ Bản,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img317_9.jpg,Đại học – cao đẳng – thcn,O Jun-u,Giáo Trình Thực Hành Lái Xe Cơ Bản Nội dung chính của  Giáo Trình Thực Hành Lái Xe Cơ Bản gồm: - Thứ nhất: Trình bày bí quyết lái xe. Không chỉ giúp người bắt đầu học dễ dàng vược qua các vấn đề cơ...,147500,Nhân Trí Việt,2009-04-10 00:00:00,19 x 24 cm ,Bìa mềm,231,,,,,
120,"Lập, Thẩm Định, Phê Duyệt, Quản Lý Và Điều Hành Dự Án Đầu Tư Xây Dựng",https://salt.tikicdn.com/cache/280x280/ts/product/3c/d4/b9/752c53b80f8903c13edb685afb9d3487.jpg,Đại học – cao đẳng – thcn,PGS. TS. Thái Bá Cẩn,"            Lập, Thẩm Định, Phê Duyệt, Quản Lý Và Điều Hành Dự Án Đầu Tư Xây Dựng        được chia làm 15 chương như sau:    Chương 1: Tổng quan các Văn bản quy phạm pháp luật liên quan đến dự ...",272000,NXB Tài Chính,2017-01-01 00:00:00,16 x 24 cm,Bìa mềm,838,Nhà Xuất Bản Tài Chính,,,,
121,Luật Hành Chính Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/69/0c/6d/7d1b37fc69aa382ede1e6d62330801c3.jpg,Đại học – cao đẳng – thcn,"GS.TS. Phạm Hồng Thái,Nguyễn Thị Minh Hà","            Luật Hành Chính Việt Nam        Trước khi tiếp cận quản lý hành chính nhà nước, cần thống nhất quan niệm về quản lý. Trong khoa học có nhiều quan niệm khác    nhau về quản lý, có qu...",172020,NXB Đại Học Quốc Gia Hà Nội,2017-01-01 00:00:00,16 x 24 cm,Bìa mềm,615,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,
122,Giáo Trình Sức Bền Vật Liệu,https://salt.tikicdn.com/cache/280x280/ts/product/37/6c/66/a64181f346887580f144682a15b09a46.jpg,Đại học – cao đẳng – thcn,TS.Trần Hưng Trà,"SỨC BỀN VẬT LIỆU là môn học cơ sở, cung cấp các khái niệm và kiến thức cho nhiều ngành kỹ thuật như xây dựng, cơ khí, thủy lợi, giao thông, hàng hải, hàng không,  nên được giảng dạy rộng rãi trong nhi...",98100,NXB Xây Dựng,2019-07-01 00:00:00,19 x 27,Bìa mềm,190,,,,,
123,Hướng Dẫn Thực Hành Kế Toán Trong Các Doanh Nghiệp,https://salt.tikicdn.com/cache/280x280/media/catalog/product/h/u/huong-dan-thuc-hanh-ke-toan-trong-cac-doanh-nghiep.jpg,Đại học – cao đẳng – thcn,Nhiều Tác Giả,"Hướng Dẫn Thực Hành Kế Toán Trong Các Doanh Nghiệp Hàng tồn kho, tài sản cố định và nợ phải thu, phải trả là những nội dung quan trọng của tất cả các loại hình doanh nghiệp với các quy mô khác nhau t...",50000,Hương Huy,2010-04-20 00:00:00,16 x 24 cm,Bìa mềm,226,Nhà Xuất Bản Tài Chính,,,,
124,Kinh Tế Phát Triển - Bài Tập Và Đáp Án,https://salt.tikicdn.com/cache/280x280/media/catalog/product/k/i/kinh-te-phat-trien.jpg,Đại học – cao đẳng – thcn,MBA. Nguyễn Văn Dung,Kinh Tế Phát Triển - Bài Tập Và Đáp Án Phần 1: Tóm tắt lý thuyết Phần 2: Câu hỏi trắc nghiệm và đáp án Phần 3: Bài tập và đáp án Phần 4: Đề thi mẫu và đáp án Phần 5: Thuật ngữ tiếng Anh chuyên ng...,97000,Hương Huy,2012-04-20 00:00:00,16 x 24 cm,Bìa mềm,385,Nhà Xuất Bản Phương Đông,,,,
