,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý
920,Khảo Cứu Về Văn Học Pàli,https://salt.tikicdn.com/cache/280x280/ts/product/0f/52/98/ce2dd191368421a7c5ae8ead19dff363.jpg,- Kiến thức tôn giáo,Thích Tâm Minh,Khảo Cứu Về Văn Học PàliVăn học Pàli Thượng tọa bộ là một trong số các nguồn văn liệu đặc biệt quan trọng của Phật giáo. Quan trọng bởi nguồn gốc lịch sử khá ổn định của nó và bởi nó là nguồn văn liệ...,49500,Công Ty TNHH TM - DV Chính Thông,,13.5 x 19.5,Bìa mềm,452,,,,
921,Nẻo Về Hạnh Phúc,https://salt.tikicdn.com/cache/280x280/ts/product/a2/77/ed/fbf71e6d6b9e03291ec055e1f6ecd861.jpg,- Kiến thức tôn giáo,TS. Hạnh Tuệ,"Nẻo về hạnh phúc chắt lọc những tinh hoa trí tuệ trong lời dạy của Đức Phật, nhằm áp dụng trong đời sống hằng ngày, hướng tới một cuộc sống tích cực, bình an và hạnh phúc.Giúp cho chúng ta có hướng s...",40000,Cửu Đức,2018-01-12 00:00:00,13 x 20 cm,Bìa mềm,158,,,,
922,Sổ Tay Học Phật - Tập 3,https://salt.tikicdn.com/cache/280x280/ts/product/61/0e/e8/8f40f7dbd08ce6acdcd1ddd60c62cc9a.jpg,- Kiến thức tôn giáo,Minh Huệ,"Mười lợi ích của việc niệm PhậtThường được chư Thiên, chư Thiện thần ủng hộCó 25 vị Bồ tát như Bồ Tát Quán Âm theo thủ độĐược Chư Phật ngày đêm hộ niệm, Đức A Di Đà thường phóng ánh sang nhiếp thọ...",26000,Công ty TNHH TM & DV Văn Hóa Hương Trang,2019-02-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,104,,,,
923,Đạo Phật Trong Văn Hóa,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img282_11.jpg,- Kiến thức tôn giáo,Sogyal Rinpoche,"Đạo Phật Trong Văn Hóa ""Nhân loại hiện giờ đang đau khổ vì cố chấp, vì riêng rẽ, vì tị hiềm, vì chủng tộc, vì đảng phái, vì địa phương, vì nhân ngã. Văn hóa nhân loại phải đi về tinh thần tổng hợp để...",19000,Công Ty TNHH TM - DV Chính Thông,2009-04-12 00:00:00,14 x 20 cm ,Bìa mềm,174,,,,
924,Hạnh Phúc Đích Thực,https://salt.tikicdn.com/cache/280x280/ts/product/46/5f/c8/8b6ededb4eae30ae0fa15ee22e2cce41.jpg,- Kiến thức tôn giáo,B. Alan Wallace,"    Trong            Hạnh Phúc Đích Thực        , Alan Wallace, người đã nhiều năm hành trì Phật pháp, vạch ra con đường đi đến hạnh phúc đích thực.    Sau thời gian dài tu học dưới sự dẫn dắt...",94000,VanLangBooks,2018-01-01 00:00:00,13.5 x 21 cm,Bìa mềm,327,,Chương Ngọc,,
925,Tiếng Sáo Mục Đồng,https://salt.tikicdn.com/cache/280x280/ts/product/d5/f1/81/e544db949f730fb119aaac892ac7bb23.jpg,- Kiến thức tôn giáo,Thích Phước Tịnh,"Mỗi khi chiều xuống, nghe tiếng sáo vi vu vọng lại từ phía cánh đồng xa xa là ta biết chú mục đồng và đàn trâu sắp về nhà.Tiếng sáo theo làn gió trầm bổng dặt dìu trong chiều vàng nghe sao thanh thoát...",55000,Cửu Đức,2018-06-01 00:00:00,"12,5 x 20 cm",Bìa mềm,310,,,,
926,Nhân Từ Là Suối Nguồn Hạnh Phúc,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img050_1_4.jpg,- Kiến thức tôn giáo,Sharon Salzberg,"Nhân Từ Là Suối Nguồn Hạnh Phúc Nhiều người dành cả cuộc đời để tạo dựng hạnh phúc. Có người thỏa mãn với điều mình cho là hạnh phúc, nhưng cũng có người vẫn loay hoay tìm kiếm, vì cho rằng hạnh phúc...",30000,VanLangBooks,2013-06-10 00:00:00,13.5 x 21 cm ,Bìa mềm,222,,,,
927,Tâm Từ Tâm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/a/tamtutam.u2769.d20170829.t101228.864100.jpg,- Kiến thức tôn giáo,Nguyễn Mạnh Hùng,"Tâm Từ Tâm Cuốn sách là tập hợp những bài viết về những trải nghiệm tâm linh đã mang tới cho chính tác giả những suy nghiệm, những nhận thức sâu sắc  về vẻ đẹp của việc sống đúng Pháp, sống đúng với ...",39600,Thái Hà,2013-06-30 00:00:00,13 x 20.5 cm,Bìa mềm,,,,,
928,Quăng Đời Mình Vào Chốn Thiền Môn,https://salt.tikicdn.com/cache/280x280/ts/product/e6/5f/be/1a01a876c6a760208fd0822e63c5c645.jpg,- Kiến thức tôn giáo,Thiện Bảo,"“Tôi sinh ra vào mùa gặt, cũng là mùa nước lũ. Người dân quê tôi dầm mình trong nước để gặt lúa chạy mưa với ông trời. Nước ngập trắng đồng và nước tràn vô nhà...Ba tôi phải kết bè chuối lấy chỗ đặt để...",45500,Thái Hà,2020-08-01 00:00:00,13x19 cm,Bìa mềm,211,Nhà Xuất Bản Hà Nội,,,
929,Ngộ Về Chữ Tu,https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/g/ngo-ve-chu-tu-500x500_1.jpg,- Kiến thức tôn giáo,Huyền Cơ,"Ngộ Về Chữ Tu ""Tu"" nguyên nghĩa Hán Việt là ""sửa"", thí dụ như tu sửa, tu bổ, tu tập... Nếu theo Tự điển Tiếng Việt của Trung Tâm Khoa Học Xã Hội và Nhân Văn Quốc Gia thì định nghĩa của ""Tu"" là ""sống ...",32000,Nhà sách Văn Chương,2012-11-21 00:00:00,14.5 x 20.5 cm,Bìa mềm,208,,,,
930,Đạo Kỷ Nguyên Mới,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img556.u547.d20160901.t141218.613595.jpg,- Kiến thức tôn giáo,Dalai Lama,"Đạo Kỷ Nguyên Mới Cuốn sách gồm những nội dung chính như sau: I. Nền tảng của phẩm hạnh Chương 1: Xã hội hiện đại và nhu cầu tìm kiếm niềm hạnh phúc của nhân loại Chương 2: Không thần không, không...",43200,Đông Nam,2011-01-18 00:00:00,13 x 20 cm ,Bìa mềm,231,Nhà Xuất Bản Đồng Nai,,,
931,Từ Giã Cuộc Đời Với Tâm An Lạc,https://salt.tikicdn.com/cache/280x280/ts/product/0f/1b/c0/b3a50c313f1a1c7c6b9a73b6f989d52b.jpg,- Kiến thức tôn giáo,Anyen Rinpoche,"Từ Giã Cuộc Đời Với Tâm An LạcTrong cuốn sách này, Anyen Rinpoche cho chúng ta thông tin thực tiễn, có lợi cả cho những người tìm kiếm một cái chết kiểu Phật giáo Tây Tạng lẫn những người không theo ...",63000,VanLangBooks,2018-01-01 00:00:00,13.5 x 21 cm,Bìa mềm,,,Thái An,,
932,Combo 2 cuốn hay: Hạnh Phúc Cầm Tay + Đạo Phật Vỡ Lòng ( Tặng kèm Bookmark Happy Life),https://salt.tikicdn.com/cache/280x280/ts/product/c1/8e/f4/44844fc1ef9553c8b8c367bf6733af61.jpg,- Kiến thức tôn giáo,Nhiều Tác Giả,"Combo 2 cuốn hay: Hạnh Phúc Cầm Tay + Đạo Phật Vỡ LòngHạnh Phúc Cầm Tay Cuộc sống quanh ta đầy màu nhiệm, chánh niệm là trái tim của thiền tập, là nguồn năng lượng xuyên suốt không thể thay đổi. Một...",83503,Thái Hà,,,Bìa mềm,,,,,
933,Lấp Lánh Sao Trời,https://salt.tikicdn.com/cache/280x280/ts/product/17/ce/e5/463548d77392afb6a13f03195fd5ea18.jpg,- Kiến thức tôn giáo,Thích nữ Trí Hải,"Tập sách nhỏ này kết tập những lời đầu quyển của nội san Pháp Luân về sau là Tuệ Uyển từ những năm 1979 đến nay (2003). Vì ưu điểm ngắn gọn súc tích của nó, độc giả sẽ có nhiều thì giờ hơn để chiêm ng...",50000,Cửu Đức,2017-08-01 00:00:00,12 x 19 cm,Bìa mềm,183,,,,
934,Bàn Về Chữ Nhẫn,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/_/b_n_v_ch_nh_n.jpg,- Kiến thức tôn giáo,Huyền Cơ,Bàn Về Chữ Nhẫn Cuộc sống của con người từ thuở khai thiên lập địa đến nay luôn luôn là một trường tranh đấu khắc nghiệt. Hầu hết người ta đã vận dụng tất cả những mưu trí sẵn có để chiếm lấy phần th...,31000,Nhà sách Văn Chương,2012-03-04 00:00:00,14.5 x 20.5 cm,Bìa mềm,200,,,,
935,Đuốc Thiền,https://salt.tikicdn.com/cache/280x280/ts/product/b4/1e/60/4a2115a6ed0b8a5577a28629d29f3b89.jpg,- Kiến thức tôn giáo,Nhật Quang,"Đuốc ThiềnBuổi nói chuyện hôm nay, chúng tôi sẽ nói về chủ đề “Gắng tỉnh”, nghĩa là gắng để mà tỉnh, tỉnh để mà tu. Vì chủ trương tu thiền là phải tỉnh táo, thiếu tỉnh là mê, mà mê thì bị nghiệp dẫn ...",27000,Thiền Viện Thường Chiếu,2002-01-01 00:00:00,"14,5 x 20,5",Bìa mềm,252,,,,
936,Người Nữ Ngoại Đạo Khujjuttara,https://salt.tikicdn.com/cache/280x280/ts/product/51/dd/b8/dd8fd5c677933fa51d96fd96aa6d829f.jpg,- Kiến thức tôn giáo,Chánh Trực,"Khujjuttara có thể là một người không có ý nghĩa gì trong thế giới đạo Phật, nhưng cuộc đời cô ấy phản ánh nhiều điểm đặc trưng của Phật giáo.Thứ nhất, tuy là một phụ nữ ở tầng lớp bần cùng nhưng lại...",9000,Công ty TNHH TM & DV Văn Hóa Hương Trang,2019-05-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,40,,,,
937,Làm Chủ Vận Mạng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img219_5.jpg,- Kiến thức tôn giáo,Pháp Sư Thích Hải Đào,Làm Chủ Vận Mạng Tập sách giới thiệu những câu chuyện ngụ ngôn giàu tính giáo dục của Phật giáo  đến hết thảy mọi người. Có rất nhiều câu chuyện trong Phật giáo đã từng quen thuộc với hầu hết mọi ngư...,30600,Công ty TNHH TM & DV Văn Hóa Hương Trang,2014-03-10 00:00:00,13 x 19 cm ,Bìa mềm,167,,,,
938,Tôi Tự Hỏi Tại Sao,https://salt.tikicdn.com/cache/280x280/ts/product/16/2f/84/8e36c8b22ed8348f41dc2e5239775681.jpg,- Kiến thức tôn giáo,Thubten Chodron,"Tập sách nhỏ này là một trong nhiều tác phẩm viết về đạo Phật của Thubten Chodron, một Tỷ-kheo-ni người Mỹ tu tập theo truyền thống Phật giáo Tây Tạng. Sách đã được xuất bản lần đầu vào năm 2000 tại S...",50000,Cửu Đức,2018-08-01 00:00:00,"12,5 x 20 cm",Bìa mềm,283,,Hiển Chơn Thích Nguyên Hòa,,
939,Tạp chí Đồng Hành số 26,https://salt.tikicdn.com/cache/280x280/ts/product/f8/0f/4e/3fcea083a1c67b87082a6d15d9d61353.jpg,- Kiến thức tôn giáo,Hoàng Mạnh Hà,"Tạp chí Đồng Hành số 26Đồng Hành là một ấn phẩm thuần túy Công giáo do nhóm nhà báo Công giáo cùng các linh mục, học giả chung tay thực hiện. Đồng Hành được viết dưới góc nhìn đơn giản nhất về cuộc s...",26000,Công ty TNHH Truyền Thông Đồng Hành,2018-11-26 10:49:38,<p>21cm x 28cm</p>,Bìa mềm,40,,,,
940,Phạm Võng Kinh (Tập 1) - Giới Giải,https://salt.tikicdn.com/cache/280x280/ts/product/4c/1a/f1/ea764b6b1dae1f29faebf095cc7f79eb.jpg,- Kiến thức tôn giáo,Totha,"            Phạm Võng Kinh (Tập 1) - Giới Giải        giúp người đọc hiểu giữ giới đúng đắn, giới hạnh đúng đắn là những chuẩn mực gì, với người tu học mà vẫn còn mưu sinh thì    những giới hạn c...",44000,TOTHA,2017-01-01 00:00:00,15.5 x 23.5 cm,Bìa mềm,184,,,,
941,Giữa Một Niệm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/2/7/2754a6f7-7b3a-470c-a15b-c3f21ab445e8.u547.d20160426.t140456.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân,"Giữa Một Niệm Niệm thiện ở trong tâm là thiên đường, niệm ác ở trong tâm là địa ngục, nhưng vì mỗi ngày chúng ta cứ mãi chạy theo, nổi trôi theo những đợt sóng nhấp nhô lên xuống của dòng sông tâm th...",76000,Công Ty Sách Thời Đại,2014-03-30 00:00:00,13.5 x 20.5 cm ,Bìa mềm,457,,,,
942,Tăng chúng đàm thoại - Quyển II,https://salt.tikicdn.com/cache/280x280/ts/product/a4/a1/b5/375caabd25b65734a109f30b2f0c1c08.jpg,- Kiến thức tôn giáo,Shenphen Zangpo,Sách giáo khoa đàm thoại dành cho Tăng chúng Phật giáo....,43000,Công Ty TNHH TM - DV Chính Thông,2005-08-31 17:43:31,<p>14.5 x 20.5cm</p>,Bìa mềm,152,,,,
943,Tăng Sự Bách Giảng - Giới Pháp Xuất Gia,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img241.u547.d20160708.t092857.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân,Tăng Sự Bách Giảng - Giới Pháp Xuất Gia Cuốn sách gồm những nội dung chính như sau: Bài 1: Sơ tâm nhập đạo Bài 2: Xuất gia giải thoát Bài 3: Tam đàn đại giới Bài 4: Bốn loại oai nghi Bài 5: Năm ...,72200,Công Ty Sách Thời Đại,2016-07-08 00:00:00,13.5 x 20.5 cm ,Bìa mềm,346,,,,
944,Xá Lợi Phật - Dấu Ấn Của Lòng Từ Bi,https://salt.tikicdn.com/cache/280x280/media/catalog/product/x/a/xa-loi-phat.jpg,- Kiến thức tôn giáo,Hương Việt,"Xá Lợi Phật - Dấu Ấn Của Lòng Từ Bi Chương I: Đức Phật - Suối nguồn từ bi và bình đẳng Trình bày về tư tưởng, trí huệ, lẽ công bằng, sự khoan dung và lòng từ bi bác ái...  của Đức Phật trong quá trình...",250000,Nhà sách Lao Động,2014-07-22 00:00:00,19 x 27 cm,Bìa mềm,410,,,,
945,Khai Vận Đỏ,https://salt.tikicdn.com/cache/280x280/ts/product/76/4b/13/b28010ad60ebc724bed0f946eedcc4bd.jpg,- Kiến thức tôn giáo,Nguyễn Lư,"Khai vận đỏ là các bí quyết khai thông vận thế đời người. Vận thế chỉ quỹ đạo vận hành, tình trạng sinh sống và mọi điều lành dữ, họa phúc trong đời. Nó hàm chứa các thông tin về sức khỏe, giàu nghèo,...",57000,-,,<p>14.5x20.5cm</p>,Bìa mềm,439,,,,
946,Trợ Giúp Cái Chết Thanh Thản,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/r/tro-giup-cai-chet.jpg,- Kiến thức tôn giáo,Quí Lâm - Kim Phượng,Trợ Giúp Cái Chết Thanh Thản Phần I: Tìm hiểu về sự chết là gì? Phần II: Hành trình đến cái chết theo quan niệm của Phật giáo Phần III: Trợ giúp người lâm chung theo Phật giáo Phần IV: Kinh Phật...,238500,TT Giới Thiệu Sách TP. HCM,2013-08-20 00:00:00,20 x 28 cm,Bìa mềm,431,,,,
947,Nghệ Thuật Thuyết Giảng Tranh Luận Điều Hành Trước Quần Chúng,https://salt.tikicdn.com/cache/280x280/ts/product/79/b5/35/b6e4d8f53fa92008f61ec5de25e7976d.jpg,- Kiến thức tôn giáo,Trần Quang Thuận,Nghệ Thuật Thuyết Giảng Tranh Luận Điều Hành Trước Quần Chúng được soạn thảo dành cho Gia đình Phật tử Việt Nam và các tổ chức của Giáo hội.Qua ý kiến thâu nhận được của các học viên và những chuyên ...,35000,Công Ty TNHH TM - DV Chính Thông,,"14,5 x 20,5 cm",Bìa mềm,228,,,,
948,Ân Tình Mênh Mông,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img269_11.jpg,- Kiến thức tôn giáo,Thích Thiện Đạo - Thích Nữ Viên Thắng,"Ân Tình Mênh Mông Trong cuộc sống, đau khổ và hạnh phúc được biểu hiện qua nước mắt và nụ cười, giọt nước mắt cho những ân tình chưa thỏa còn lắng đọng ở bờ mi, hay nụ cười ấm áp của yêu thương còn g...",17000,Công Ty TNHH TM - DV Chính Thông,2015-06-12 00:00:00,14 x 20 cm ,Bìa mềm,79,,,,
949,Suối Nguồn Bồ Đề Tâm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/s/u/suoi_nguon_bo_de_tam.jpg,- Kiến thức tôn giáo,Tsong Kha Pa,"Suối Nguồn Bồ Đề Tâm ""Sự thực hành Bồ đề tâm rất cần thiết cho những ai ước muốn thành tựu giác ngộ. Tất cả chư Phật và Bồ tát trong quá khứ đã thành tựu những giác ngộ cao cấp này nhờ nuôi dưỡng thá...",15000,Công Ty TNHH TM - DV Chính Thông,2010-09-14 00:00:00,14 x 20 cm ,Bìa mềm,137,,,,
950,Tăng Sự Bách Giảng - Quy Chế Tùng Lâm ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img243.u547.d20160708.t094253.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân,Tăng Sự Bách Giảng - Quy Chế Tùng Lâm Cuốn sách gồm những nội dung chính như sau: Bài 1: Phân biệt tùng lâm Bài 2: Tùng lâm ở Trung Quốc Bài 3: Bố cục tùng lâm Bài 4: Bốn mươi tám đơn vị Bài 5: ...,83500,Công Ty Sách Thời Đại,2016-07-08 00:00:00,13.5 x 20.5 cm ,Bìa mềm,397,,,,
951,Combo 2 Cuốn Sách Về Tâm Linh Cực Hay: Đạo Phật Vỡ Lòng + Tĩnh Lặng (Tặng Kèm Bookmark Happy Life),https://salt.tikicdn.com/cache/280x280/ts/product/4d/a3/5f/ef10f24165ba78e3b802f67e4fe0f0e8.jpg,- Kiến thức tôn giáo,Hisashi Ota,Combo 2 Cuốn Sách Về Tâm Linh Cực Hay: Đạo Phật Vỡ Lòng + Tĩnh Lặng (Tặng Kèm Bookmark Happy Life) những cuốn sách tuyệt vời giúp bạn cân bằng cuộc sống.1.Đạo Phật Vỡ LòngCốt lõi của đạo Phật là gì?...,98500,Thái Hà,,,Bìa mềm,,,,,
952,Ngũ Giới Theo Góc Nhìn Khoa Học (Quyển 1),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img7520.u4972.d20170503.t135838.830660.gif,- Kiến thức tôn giáo,Totha,Ngũ Giới Theo Góc Nhìn Khoa Học (Quyển 1) Cuốn sách được biên soạn theo chủ hướng mang tính kết nối Khoa học - Tôn giáo - Tâm linh giúp lý giải những hiện tượng ngoài vùng khả biến của 5 giác quan hạ...,37000,Cty Khoa Học Năng Lượng Tâm Thức,2015-12-01 00:00:00,16 x 24 cm,Bìa mềm,246,Nhà Xuất Bản Tổng hợp Đà Nẵng,,,
953,Đường Lên Thiên Giới,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img6980.u4972.d20170425.t165932.809732.jpg,- Kiến thức tôn giáo,Lý Thái Thuận,"Đường Lên Thiên Giới Đại ý của truyện là tán dương tâm ý bố thí chân thành, nhưng có thể thấy lợi ích trước hết của lòng thành: đó là dứt bỏ được lòng xan tham, nó giúp cho người tín đồ chúng ta thuậ...",18000,Công Ty TNHH TM - DV Chính Thông,2010-01-01 00:00:00, 13 x 19 cm,Bìa mềm,158,Nhà Xuất Bản Tôn Giáo,,,
954,Minh Triết Dành Cho Người Mẹ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/m/i/minh-triet-danh-cho-nguoi-me.jpg,- Kiến thức tôn giáo,Sarah Napthali,"Minh Triết Dành Cho Người Mẹ Minh triết dành cho người mẹ khám phá khả năng luôn sống cùng thực tại với con cái, tìm niềm vui lớn nhất khi sống cùng con cái. Chúng ta phải làm sao để việc dạy con cái...",34400,Đông Nam,2011-11-30 00:00:00,13 x 20.5 cm,Bìa mềm,171,Nhà Xuất Bản Văn Học,,,
955,Thắp Sáng Đèn Chân Lý,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/h/thap-sang-den-chan-ly.jpg,- Kiến thức tôn giáo,Ni sư Thích Nữ Giác Liên,"Thắp Sáng Đèn Chân Lý ""Theo Phật giáo Nguyên thủy, trong dời người, chúng  ta tối đa được xuất gia 7 lần. Tôi đã sử dùng gần 1 phần 3 số đó. Lần đầu tôi xuất giao gieo duyên với thiền sư nổi tiếng ng...",15000,Thái Hà,2015-01-12 00:00:00,,Bìa mềm,,,,,
956,Tăng Sự Bách Giảng - Cùng Nhau Tu Tập,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img240.u547.d20160708.t091520.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân,Tăng Sự Bách Giảng - Cùng Nhau Tu Tập Cuốn sách gồm những nội dung chính như sau: Bài 1: Quy y Tam bảo Bài 2: Giữ và làm theo ngũ giới Bài 3: Tu trì mật hạnh Bài 4: Công đức Phật sự Bài 5: Bát q...,76000,Công Ty Sách Thời Đại,2016-07-08 00:00:00,13.5 x 20.5 cm ,Bìa mềm,349,,,,
957,Tự Tánh Di Đà,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img250_1_3.jpg,- Kiến thức tôn giáo,Cư Sĩ Minh Mẫn,"Tự Tánh Di Đà Tự Tánh Di Đà hay quang năng tự tánh là bản thể của mọi chúng sanh vốn thường hằng, là một năng lượng siêu thức là pháp thân chư Phật, là hào quang vượt thoát mọi tăm tối, là ánh quang ...",30000,Công Ty TNHH TM - DV Chính Thông,2013-03-15 00:00:00,12 x 20 cm ,Bìa mềm,287,,,,
958,Tu Là Cội Phúc,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu_l_c_i_ph_c_2.jpg,- Kiến thức tôn giáo,Huyền Cơ,"Tu Là Cội Phúc Tu là sửa, ấy chỉ là phần tiêu cực, mà còn phải bồi bổ mới là phần tích cực, nghĩa là sửa đổi đi những điểm xấu xa tội lỗi để không còn một bợn nhơ, một mặc cảm nào về tội lỗi và còn p...",36000,Nhà sách Văn Chương,2012-07-15 00:00:00,14.5 x 20.5 cm,Bìa mềm,224,,,,
959,Phật Giáo Và Thế Tục,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img292.u547.d20160425.t161046.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân,"Phật Giáo Và Thế Tục Tập sách xiển dương tinh thần Phật giáo nhân gian, bám sát sự phát triển thời đại, dưới nhiều góc độ với cái nhìn sâu sắc. Tác giả trình bày một cách nhẹ nhàng, gãy gọn các vấn đ...",54000,Công Ty Sách Thời Đại,2015-12-30 00:00:00,13.5 x 20.5 cm ,Bìa mềm,185,,,,
960,Chuyện Vãng Sanh (Tập 1),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img607.u4972.d20170413.t093241.909665.jpg,- Kiến thức tôn giáo,Nhiều Tác Giả,Chuyện Vãng Sanh (Tập 1) Pháp môn Tịnh độ đã gắn liền với Phật giáo Việt Nam từ rất lâu đời. Giáo lí và niềm tin Tịnh độ dễ dàng được tìm thấy trong các bài giảng hoặc trước tác của hầu hết các bậc t...,67000,Công Ty TNHH TM - DV Chính Thông,2016-04-01 00:00:00,16 x 24 cm,Bìa mềm,405,Nhà Xuất Bản Đồng Nai,,,
961,Thiện Chiếu Nhà Cải Cách Phật Giáo,https://salt.tikicdn.com/cache/280x280/media/catalog/product/3/3/33350_39891.u4972.d20170404.t154217.331864.jpg,- Kiến thức tôn giáo,Nguyễn Q. Thắng,Thiện Chiếu Nhà Cải Cách Phật Giáo Tập tiểu luận này là một số suy nghĩ của tác giả về Thiền sư Thiện Chiếu (1898-1974) mà cũng là một chiến sĩ văn hóa trên hai mặt trận tư tưởng và chống xâm lược Ph...,55000,Công Ty TNHH Thư Lâm,2010-05-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,364,Nhà Xuất Bản Văn Học,,,
962,Mở Con Mắt Thiền - Tình Thương Đạo Phật Ngày Nay,https://salt.tikicdn.com/cache/280x280/ts/product/8f/17/f0/186efa7aefe4ef013c035c316baf6213.jpg,- Kiến thức tôn giáo,Nikkyo Niwano,Mở Con Mắt Thiền - Tình Thương Đạo Phật Ngày Nay:Những bài dịch trong tập sách này đều thể hiện giá trị sống thiết thực hữu ích cho việc thể nghiệm Phật pháp trong đời sống hằng ngày của Phật tử.Chú...,24000,Công Ty TNHH TM - DV Chính Thông,,14 x 20 cm,Bìa mềm,253,,,,
963,Chân Lý - Cẩm Nang Đời Người,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img315.u547.d20160426.t165839.jpg,- Kiến thức tôn giáo,Chương Nham,Chân Lý - Cẩm Nang Đời Người Cuốn sách gồm những nội dung chính như sau: Phần I: Trí tuệ đời người Phần II: Sự thật của sinh mệnh Phần III: Khai phát tự ngã Phần IV: Trong chỗ nhân ngã. Trích đọ...,57600,Công Ty Sách Thời Đại,2016-03-15 00:00:00,13.5 x 20.5 cm ,Bìa mềm,245,,,,
964,Suối Thiền,https://salt.tikicdn.com/cache/280x280/ts/product/76/4b/8f/caaffee7f15f0bb811195d8f61a80d23.jpg,- Kiến thức tôn giáo,Nhật Quang,"Suối ThiềnĐại dương bao la muôn thuở là chỗ về của ao hồ sông rạch, là chỗ đến của suối nguồn thiên nhiên. Biển Phật pháp như đại dương bất tận và suối thiền là mạch nguồn tuôn chảy luôn hướng về biể...",27000,Công Ty TNHH TM - DV Chính Thông,2002-01-01 00:00:00,"14,5 x 20,5",Bìa mềm,252,,,,
965,Mộng Thoát Luân Hồi,https://salt.tikicdn.com/cache/280x280/ts/product/e0/0e/7f/b2114a7e4b785638e49dbeeb64a9488d.jpg,- Kiến thức tôn giáo,Nhụy Nguyên,"Học, rồi hành theo lời Đức Phật nhằm thấu tỏ vạn pháp huyễn giả để buông xuống.Khi ta buông xuống cái không phải chân lý, ngay đó là chân lý.Nhưng vẫn còn một cái ta biết /""sở hữu"" chân lý đó cũng c...",43000,Công Ty TNHH TM - DV Chính Thông,2019-02-01 00:00:00,12 x 20 cm,Bìa mềm,205,,,,
966,100 Câu Hỏi Đáp Về Sinh Và Tử,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/0/100-cau-hoi-dap-sinh-tu-500x500.jpg,- Kiến thức tôn giáo,Huyền Cơ,"100 Câu Hỏi Đáp Về Sinh Và Tử Có thể nói, ngay từ thời Hồng Hoang hay Cổ đại, các bậc thánh nhân hiền triết đã vận dụng trí tuệ của mình để cố gắng giải đáp về Sinh và Tử, nhưng cuối cùng vẫn không t...",45000,Nhà sách Văn Chương,2012-01-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,302,,,,
967,Tăng Sự Bách Giảng - Quản Lý Tổ Chức,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img242.u547.d20160708.t093534.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân,Tăng Sự Bách Giảng - Quản Lý Tổ Chức Cuốn sách gồm những nội dung chính như sau: Bài 1: Phân loại tín đồ Bài 2: Tăng đoàn hòa thượng Bài 3: Tất cả đều hoan hỉ Bài 4: Tấm gương sư đồ Bài 5: Giữa ...,64000,Công Ty Sách Thời Đại,2016-07-08 00:00:00,13.5 x 20.5 cm ,Bìa mềm,322,,,,
968,Phật Giáo Và Xã Hội,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/1/d1ff93fd-7634-4258-9d07-2a804d2e0ef0.u547.d20160426.t162904.jpg,- Kiến thức tôn giáo,Đại Sư Tinh Vân, Phật Giáo Và Xã Hội Cuốn sách gồm những nội dung chính như sau: Qụan Niệm Về Phước Và Thọ Của Phật Giáo Quan Niệm Đạo Đức Trong Phật Giáo Qụan Niệm Chính Trị Trong Phật Giáo Qụan Niệm Về Trung H...,60000,Công Ty Sách Thời Đại,2014-12-30 00:00:00,13.5 x 20.5 cm ,Bìa mềm,286,,,,
