,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang,Nhà xuất bản,Kích thước,Dịch Giả,Phiên bản
45,Từ Nhà Ra Thế Giới - Những Bước Chân Đầu Tiên Của Một Công Dân Toàn Cầu,https://salt.tikicdn.com/cache/280x280/ts/product/d5/d4/c2/b4f02e2706727190fd1943aac9d0807b.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,TỪ NHÀ RA THẾ GIỚINhững bước chân đầu tiên của một công dân toàn cầuBạn hình dung như thế nào về việc du học? Bạn nghĩ thế nào là một công dân toàn cầu? Trong TỪ NHÀ RA THẾ GIỚI - Những bước chân đầ...,63200,Tri Thức Trẻ Books,2020-10-01 00:00:00,Bìa mềm,215,Nhà Xuất Bản Thanh Niên,13.5 x 20 cm,,
46,HIMALAYA –  Hành Trình Chạm Đến Trán Trời,https://salt.tikicdn.com/cache/280x280/ts/product/aa/ce/33/3e33a4ba18f310ceb3ec6d65d0d80bad.jpg,Chăm sóc sức khỏe,Mai Lan,HIMALAYA – Hành Trình Chạm Đến Trán TrờiCuốn sách được viết khi Mai Lan và người bạn đồng hành đang trên đường trở về Salleri – điểm gần với Vườn quốc gia Sagarmatha nhất có thể đến được bằng ô tô. 2 ...,77700,Alphabooks,2020-02-02 00:00:00,Bìa mềm,192,Nhà Xuất Bản Thế Giới,13 x 20.5 cm,,
47,Combo Sách Văn Học Hay:  Phương Đông Lướt Ngoài Cửa Sổ + Trên Đường - (Tặng Kèm Postcard Greenlife),https://salt.tikicdn.com/cache/280x280/ts/product/6c/0b/be/f4711feeed7d0adde1ba7a945024455f.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,"Combo Sách Văn Học Hay:  Phương Đông Lướt Ngoài Cửa Sổ + Trên Đường - (Tặng Kèm Postcard Greenlife)""Đi một ngày đàng học một sàng khôn"" càng đi nhiều bạn sẽ càng học được nhiều điều từ cuộc sống ban ...",220850,Nhã Nam,,Bìa mềm,,,"<p> </p>
<table id=""chi-tiet"" class=""table table-bordered table-detail table-striped"" style=""box-sizing: border-box; border-collapse: collapse; border-spacing: 0px; background-color: transparent; max-width: 100%; width: 880px; margin-bottom: 20px; border: 1px solid #dddddd; color: #333333; font-family: Roboto, Helvetica, Arial, sans-serif;"" cellspacing=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td class=""last"" style=""box-sizing: border-box; padding: 10px 15px; line-height: 1.42857; vertical-align: top; border-width: 1px 0px; border-image: initial; color: #242424; font-size: 13px; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; border-color: #d5d5d5 initial #d5d5d5 initial; border-style: solid initial solid initial;"">14 x 20.5 cm</td>
</tr>
</tbody>
</table>",,
48,Combo Sách Du Ký : HIMALAYA – Hành Trình Chạm Đến Trán Trời + Khơi Lửa Sông Nile + Đừng Chết Ở Ả Rập Xê Út,https://salt.tikicdn.com/cache/280x280/ts/product/5e/02/21/fa7e4e643a81e605a9daa8f6ce4521e5.JPG,Chăm sóc sức khỏe, Nhiều Tác Giả,HIMALAYA – Hành Trình Chạm Đến Trán TrờiCuốn sách được viết khi Mai Lan và người bạn đồng hành đang trên đường trở về Salleri – điểm gần với Vườn quốc gia Sagarmatha nhất có thể đến được bằng ô tô. 2...,213600,Alphabooks,,Bìa mềm,,Nhà Xuất Bản Thế Giới,,,
49,Gái Phượt,https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/a/gai_phuot.u4939.d20170317.t092030.638739.jpg,Chăm sóc sức khỏe,Yếm Đào Lẳng Lơ,"Gái Phượt Gái phượt là cô gái yêu đương mộng mơ khắc khoải theo những cung đường, mà ngay cả khi tiễn biệt một mối tình cũng phải đi một chuyến để chia tay. Là người mẹ tự tin một mình xách con lên đ...",55200,Nhã Nam,2017-03-17 00:00:00,Bìa mềm,255,,"14 x 20,5 cm
",,
50,Tuổi Trẻ Có Chí Thì Đi,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tuoi-tre-co-chi-thi-di-1.u5430.d20170717.t153416.371907.jpg,Chăm sóc sức khỏe,Lê Huy Hoàng,"Tuổi Trẻ Có Chí Thì Đi là một cuốn “du học ký” thú vị. Từ chỗ là một chàng trai thiếu mục đích, tác giả bắt đầu nỗ lực học tiếng Anh, thi IELTS, nộp hồ sơ du học Úc, sang Úc học thạc sĩ. Chính trong q...",75050,GuBooks,2017-07-21 00:00:00,Bìa mềm,212,Nhà Xuất Bản Thế Giới,14.5 x 20.5 cm,,
51,Chiến Dịch Hoa Kim Tước,https://salt.tikicdn.com/cache/280x280/ts/product/8b/4a/95/ef66cf13298201074b74bd9566b0b8f6.jpg,Chăm sóc sức khỏe,Phạm Sanh Châu,"""Trở về nhà"", ba từ ấy chưa bao giờ lại trở nên khắc khoải và thiêng liêng như thế đối với những người Việt kẹt lại ỏ Ấn Độ vì Covid-19. Sau lệnh phong tỏa của chính phủ Ấn Độ vào tháng 3/2020, hàng t...",84900,Nhã Nam,2020-10-15 00:00:00,Bìa mềm,268,Nhà Xuất Bản Hội Nhà Văn,14 x 20.5 cm,,
52,Combo Sách Du Ký : Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020) + Độc Hành,https://salt.tikicdn.com/cache/280x280/ts/product/a6/fb/d6/9c4477120ee0f0c3a25b53c3794463f1.JPG,Chăm sóc sức khỏe, Nhiều Tác Giả,"Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020)Tây Tạng là một khu vực cao nguyên tại châu Á, ở phía bắc và đông của dãy núi Himalaya. Đây là quê hương của người Tạng cũng như một số dân tộ...",241200,Alphabooks,,Bìa mềm,,Nhà Xuất Bản Thế Giới,,,
53,Cổng Du Học: Singapore - Sống Khỏe ở Xứ Sở Đắt Đỏ,https://salt.tikicdn.com/cache/280x280/ts/product/5b/05/c6/e147da650edc52429969bfd1c19db4c3.jpg,Chăm sóc sức khỏe,"Vĩnh Trinh,Nhựt Nguyễn","Cổng Du Học: Singapore - Sống Khỏe ở Xứ Sở Đắt ĐỏNổi tiếng với chất lượng giáo dục hàng đầu thế giới, mức học phí khá dễ chịu cùng khoảng cách địa lí gần gũi đã biến Singapore trở thành điểm đến lí t...",62400,Nhà Xuất Bản Kim Đồng,,Bìa mềm,116,,,,
54,Japonisme – Những Điều Rất Nhật Bản - Tặng Kèm Sổ Tay,https://salt.tikicdn.com/cache/280x280/ts/product/af/a0/96/8f908472f0af5f51708e519674da7c98.jpg,Chăm sóc sức khỏe,Erin Niimi Longhurst,"Japonisme – những điều Rất Nhật Bản là một cuốn sách mang đầy hơi thở của xứ sở hoa anh đào, là nguồn cảm hứng vô tận để bạn khám phá nghệ thuật kiếm tìm hạnh phúc, sự đủ đầy cho Kokoro (trái tim và t...",137080,Bloom Books,,Bìa mềm,277,Nhà Xuất Bản Thế Giới,<p>16 x 24 cm</p>,,
