,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang,Nhà xuất bản,Kích thước,Dịch Giả,Phiên bản
0,,,,,,,,,,,,,,
1,Người tình Havana,https://salt.tikicdn.com/cache/280x280/ts/product/77/e9/42/e37e4d64caec99c6f5462c31f4c637df.jpg,Chăm sóc sức khỏe,Đinh Hằng,"Tình yêu quan trọng nhất và cũng khó học nhất trên cõi đời này là gì? Là tình yêu dành cho người bạn đời, tình yêu cuộc sống hay tình yêu dành cho chính bản thân mình?  Cô gái dữ dội và mạnh mẽ của ...",90000,NXB Hội Nhà Văn,2020-12-04 17:47:13,Bìa mềm,260,Nhà Xuất Bản Hội Nhà Văn,,,
2,Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/3f/7c/17/2252a06002e2e843a3a70e758f54a8d8.jpg,Chăm sóc sức khỏe,Đặng Hoàng Xa,"Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020)Tây Tạng là một khu vực cao nguyên tại châu Á, ở phía bắc và đông của dãy núi Himalaya. Đây là quê hương của người Tạng cũng như một số dân tộ...",125400,Omega Plus,2020-04-01 00:00:00,Bìa mềm,320,Nhà Xuất Bản Thế Giới,"14 x 20,5 cm",,
3,Japonisme – Những Điều Rất Nhật Bản,https://salt.tikicdn.com/cache/280x280/ts/product/b3/b5/b2/011eb62533adf9d6d67c6a42d2ceb5e5.jpg,Chăm sóc sức khỏe,Erin Niimi Longhurst,"Japonisme – những điều Rất Nhật Bản là một cuốn sách mang đầy hơi thở của xứ sở hoa anh đào, là nguồn cảm hứng vô tận để bạn khám phá nghệ thuật kiếm tìm hạnh phúc, sự đủ đầy cho Kokoro (trái tim và t...",119200,Bloom Books,2019-09-01 00:00:00,Bìa mềm,280,,,,
4,Thế Giới Rộng Lớn Đừng Đi Một Mình,https://salt.tikicdn.com/cache/280x280/ts/product/60/5f/0c/1322d346b88a6940b8c93d105dec840d.jpg,Chăm sóc sức khỏe,Lý Thành Cơ,"""Sợ thì sợ, nhưng nếu cứ sống mãi trong vùng sợ, liệu chúng ta có biết được tuổi trẻ của mình dài bao nhiêu?""Càng lớn, con người càng đem theo bên mình nhiều nỗi sợ. Sợ thất nghiệp, thất tình, sự ngh...",75900,Skybooks,2019-01-05 00:00:00,Bìa mềm,208,,14.5 x 20.5 cm,,
5,Nice To Meet You!” – Xin Chào! Bạn Đi Cùng Đường Với Tôi Chứ?,https://salt.tikicdn.com/cache/280x280/ts/product/15/6a/c1/50ffe2268c95ddaa53a9ccb129484197.jpg,Chăm sóc sức khỏe,Mai Lan,Nice To Meet You!” – Xin Chào! Bạn Đi Cùng Đường Với Tôi Chứ?“Nice to meet you!” kể về những gì một cô gái hai mươi tư tuổi – Mai Lan – đã trải qua trong thời gian một năm sống cuộc đời chỉ như mình ...,71200,Bloom Books,2018-08-25 12:34:31,Bìa mềm,240,,<p>13.5 x 20 cm</p>,,
6,Cô Đơn Trên Everest (Du Ký),https://salt.tikicdn.com/cache/280x280/ts/product/89/8f/ca/e0c2888a93b4814874ff51d48c57cd71.jpg,Chăm sóc sức khỏe,Di Li,"""Du ký của Di Li cuốn hút bởi rất nhiều chi tiết ngập tràn thông tin mới lạ, chính điều đó đã làm nên những câu chuyện. Di Li kể chuyện hấp dẫn, tỉ mỉ và thủ thỉ như một người bạn. Qua cách mà cô chia...",103320,Liên Việt,2021-01-01 11:40:03,Bìa mềm,323,Nhà Xuất Bản Hội Nhà Văn,13 x 20.5 cm,,
7,Sự Thật Ta Nắm Giữ - Một Hành Trình Xuyên Nước Mỹ,https://salt.tikicdn.com/cache/280x280/ts/product/d8/26/aa/b9a921a949a9254b781e158c47f8e1d1.jpg,Chăm sóc sức khỏe,Kamala Harris,"Được viết bởi một nhà lãnh đạo chính trị quyền lực bậc nhất Hoa Kỳ, nhưng cuốn sách không hề khiến độc giả ngợp trong những vấn đề chính trị khô khan. Như tác giả cũng khẳng định, đây không phải cương...",131300,Tân Việt,2021-07-15 00:00:00,Bìa mềm,368,Nhà Xuất Bản Dân Trí,15 x 23 cm,Khánh Vân,
8,Dấu Yêu Cambridge,https://salt.tikicdn.com/cache/280x280/ts/product/71/ff/70/2fde5c00699e0ab1fc19ae35f12581ef.jpg,Chăm sóc sức khỏe,Ngân Jones,"Được nhận vào một trong những trường đại học danh giá nhất thế giới, mục tiêu hàng đầu của Ni, cô nàng sinh viên đến từ Việt Nam, dĩ nhiên là học cho ra trò hòng giành kết quả thật ngon lành. Thế nhưn...",76000,NXB Kim Đồng,2020-10-15 00:00:00,Bìa mềm,316,Nhà Xuất Bản Kim Đồng,13.5 x 20.5 cm,,
9,"Đường Xanh Viễn Xứ - Tự Truyện Của Một ""Dân Chăn Mèo"" Việt Trên Đất Úc",https://salt.tikicdn.com/cache/280x280/ts/product/77/21/fc/df65bd13412e5565017d1f7355891b6c.jpg,Chăm sóc sức khỏe, Tô Giang,"“Thứ cây này có linh hồn, nó sẽ kéo tất cả dân chơi trong đó có “dân chăn mèo” như tôi xuống và nhấn chìm vào bóng tối cuộc đời...”Tự truyện của một người đàn ông tìm kiếm cuộc đổi đời. Ở xứ người, sốn...",109000,Nhã Nam,2021-08-01 00:00:00,Bìa mềm,252,Nhà Xuất Bản Hội Nhà Văn,14 x 20.5 cm,,
10,Đà Lạt Bên Dưới Sương Mù,https://salt.tikicdn.com/cache/280x280/ts/product/1c/93/3a/cdd513b0baba761ba73b129e1440d029.jpg,Chăm sóc sức khỏe,Nguyễn Vĩnh Nguyên,"Một Đà Lạt thời vàng son trong đời sống văn hóa đã từng được Nguyễn Vĩnh Nguyên tái hiện qua cuốn du khảo Đà Lạt, một thời hương xa.Lần này, là một cách tiếp cận khác, hành trình khác. Phần chìm, phầ...",172000,PHANBOOK,2019-01-01 10:41:29,Bìa mềm,399,,,,
11,Phương Đông Lướt Ngoài Cửa Sổ (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/26/75/69/1c95ba52c9cee5a7e38adb0d82570742.jpg,Chăm sóc sức khỏe,Paul Theroux,"Phương Đông Lướt Ngoài Cửa Sổ là chặng hành trình xuyên Châu Á của Paul Theroux vào năm 1973 và đến rất nhiều năm sau này, chặng hàng trình ấy vẫn đang được hàng triệu bạn đọc trên thế giới biết đến v...",103100,Nhã Nam,2019-10-04 00:00:00,Bìa mềm,548,,14 x 20.5 cm,,
12,Bước Chân Theo Dấu Mặt Trời – Hành Trình Trở Về Ấn Độ (Bản Thông Thường)(Tặng Kèm Bookmark Tiki),https://salt.tikicdn.com/cache/280x280/ts/product/3c/91/6b/cea708022b4e9609e8e9b87d1209c1b0.jpg,Chăm sóc sức khỏe,Phương Thu Thủy,"Bước Chân Theo Dấu Mặt Trời – Hành Trình Trở Về Ấn Độ được viết bởi một người phụ nữ đã từ bỏ công việc ổn định, rời xa ngôi nhà êm ấm để trở thành kẻ lữ hành cô độc đến những miền đất lạ với tấm vé m...",59500,Alphabooks,2019-07-01 00:00:00,Bìa mềm,348,,14 x 19 cm,,
13,Đà Lạt Một Thời Hương Xa (Du Khảo Văn Hóa Đà Lạt 1954 - 1975),https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/x/nxbtre_full_23132016_111314.u547.d20160928.t085207.696172.jpg,Chăm sóc sức khỏe,Nguyễn Vĩnh Nguyên,"Đà Lạt Một Thời Hương Xa  Đà Lạt được kiến tạo từ những cuộc du hành văn hóa trong quá khứ. Đà Lạt từng là không gian văn hóa đô thị có sức hấp dẫn riêng, nơi gặp gỡ của những khát vọng tri thức lớn,...",142400,NXB Trẻ,2016-09-28 00:00:00,Bìa mềm,400,,15.5 x 23.5 cm,,
14,Xách Ba Lô Lên Và Đi - Tập 1: Châu Á Là Nhà. Đừng Khóc! (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/a3/ff/d6/94d164845b4157238d007afc2ed37601.jpg,Chăm sóc sức khỏe,Huyền Chip,"Xách Ba Lô Lên Và Đi - Tập 1: Châu Á Là Nhà. Đừng Khóc! (Tái Bản) ""Bước chân của Huyền khởi đầu cho trào lưu mới trong giới trẻ Việt: Khát khao vươn ra thế giới, đi và trải nghiệm"" - Tiền Phong ""“Ta...",101150,Quảng Văn,2013-01-31 07:00:00,Bìa mềm,480,,13 x 21 cm,,
15,"Combo 2 Cuốn: JOE BIDEN- Hứa Với Con, Ba Nhé + Sự Thật Ta Nắm Giữ - Một Hành Trình Xuyên Nước Mỹ",https://salt.tikicdn.com/cache/280x280/ts/product/0c/d7/b0/deae35a90c1aeeb5ab9808b5fd04d651.jpg,Chăm sóc sức khỏe,"Joe Biden,Kamala Harris","Bạn có tò mò về những gì đã trải qua của những con người quyền lực nhất nước Mỹ ở thời điểm hiện tại. Nếu vậy thì cuốn hồi ký “Hứa với con, Ba nhé” của đương kim Tổng thống Joe Biden và cuốn “Sự thật ...",242900,Tân Việt,2021-07-15 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,15 x 23 cm,Nguyễn Xuân Hổng + Khánh Vân (dịch),
16,Tôi Nghĩ Tôi Thích Nước Mỹ - Du Ký (Dương Thụy) (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/36/1a/c4/46586353fc60b36fc155c1af4b27d5a9.jpg,Chăm sóc sức khỏe,Dương Thụy,"Qua những câu chuyện cụ thể mà tác giả chứng kiến trên đất Mỹ, người đọc có thể vừa thư giãn với giọng văn vui tươi dí dỏm, vừa cảm nhận một nước Mỹ dù to lớn nhưng rất gần gũi....",102200,NXB Trẻ,2021-07-15 00:00:00,Bìa mềm,318,NXB Trẻ,13 x 20 cm,,
17,UZBEKISTAN - Giấc Mơ Màu Lam Ngọc,https://salt.tikicdn.com/cache/280x280/ts/product/cb/d3/4a/7cff7e4e8858766cd107a674590239b6.jpg,Chăm sóc sức khỏe,Hảo Phạm Fiori,"Một ngày tháng 6/2015, trong khi gia đình tôi đang rong chơi trên bãi biển xinh đẹp của đảo Guadeloupe thì Andrea - chồng tôi - bất ngờ nhận được một cú điện thoại. Đó là cuộc gọi từ trụ sở chính của ...",57000,Wings Books,2020-08-01 00:00:00,Bìa mềm,120,Nhà Xuất Bản Kim Đồng,14 x 22.5 cm,,
18,Sáu Người Đi Khắp Thế Gian (Tập 2) ( Tái Bản 2019 ),https://salt.tikicdn.com/cache/280x280/ts/product/5c/47/0d/3f1a1c7c6f6ab339b1acd2892ee7282e.jpg,Chăm sóc sức khỏe,James Albert Michener,"Ngày mười bốn tháng Bảy không khí Pamplona náo nhiệt đến tột đỉnh. Suốt đêm hàng nghìn người Pháp rầm rập vượt qua biên giới để “regarder les taureaux[1]”. Họ là những con người đẹp đẽ, quần trắng giả...",101200,Nhã Nam,2019-04-01 00:00:00,Bìa mềm,564,,16 x 24 cm,,
19,Chốc Lát Những Bến Bờ,https://salt.tikicdn.com/cache/280x280/ts/product/92/40/22/5d409e0e76432b5214b524cb48ea9ee1.jpg,Chăm sóc sức khỏe,Hồ Anh Thái,"“Chốc lát những bến bờ” là những ghi chép về các chuyến đi. Với Hồ Anh Thái, những chuyến đi về đất Phật Ấn Độ, đến Ba Tư quê hương của những câu chuyện thần kỳ với những khu chợ và những tấm thảm, sa...",46000,NXB Trẻ,2019-04-01 00:00:00,Bìa mềm,392,,13 x 20 cm,,
20,Combo Đà Lạt Bên Dưới Sương Mù + Miền Sương Khói,https://salt.tikicdn.com/cache/280x280/ts/product/25/80/7b/5710dced5a00698899155085e9bf1d32.jpg,Chăm sóc sức khỏe,"Nguyễn Vĩnh Nguyên,Nhiều Tác Giả","BỘ SÁCH DÀNH CHO NHỮNG NGƯỜI YÊU ĐÀ LẠT1. ĐÀ LẠT BÊN DƯỚI SƯƠNG MÙMột Đà Lạt thời vàng son trong đời sống văn hóa đã từng được Nguyễn Vĩnh Nguyên tái hiện qua cuốn du khảo Đà Lạt, một thời hương xa....",270000,PHANBOOK,,,,,,,
21,Du Học Ký: Vạn Dặm Có Chi?,https://salt.tikicdn.com/cache/280x280/ts/product/ab/3d/3d/ab66d2660cfa685038ad5a00bb811657.jpg,Chăm sóc sức khỏe,"Nhiều Tác Giả,Nhiều Tác Giả,Nhiều tác giả,Nhiều Tác Giả ,Nhiều Tác giả","Du học là một ước mơ đẹp của nhiều bạn trẻ. Nếu như trong câu chuyện “Tây du ký"" của Ngô Thừa Ân xưa kia thầy trò Đường Tăng đi tới Tây phương để tìm ""chân kinh"", thì ngày nay những bạn trẻ đi du học ...",152100,Alora,,,,,,,
22,Nana Du Ký,https://salt.tikicdn.com/cache/280x280/media/catalog/product/c/o/cover 1 - nana.u547.d20160510.t083341.jpg,Chăm sóc sức khỏe,Arikawa Hiro,"Nana Du Ký Với con người, thăm thú chỗ này, gặp gỡ người kia, đều là chuyện thường chẳng đáng nhắc đến. Với mèo lại khác. Chẳng có mấy con mèo cả gan vượt ra ngoài lãnh thổ bé xíu của mình, chứ đừng...",80900,IPM,2016-05-16 00:00:00,Bìa mềm,336,,13.5 x 20.5 cm ,,
23,Nào Mình Cùng Đạp Xe Đến Paris,https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/a/nao-minh-cung-dap-xe-den-paris-01.u84.d20161222.t170658.936258.jpg,Chăm sóc sức khỏe,Nguyễn Thị Kim Ngân,"Nào Mình Cùng Đạp Xe Đến Paris Làm sao có thể đạp xe đến Paris? Có chứ, bởi cô gái ấy đi là để viết cuốn sách đời mình, bởi cô tự nhận mình là một chiến mã khao khát đồng hoang. 291 ngày và 15 ngàn c...",77430,Nhã Nam,2016-12-01 00:00:00,Bìa mềm,352,,14 x 20.5 cm ,,
24,Xuyên Mỹ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/8/98247_12_10_16_xuyen-my.u2469.d20161024.t155501.626758.jpg,Chăm sóc sức khỏe,Phan Việt,"Xuyên Mỹ Tiếp nối Một Mình Ở Châu Âu, Xuyên Mỹ là tập 2 của bộ ""Bất hạnh là một tài sản"" kể lại khoảng thời gian hai năm từ lúc tác giả từ châu Âu về nhà bên bờ Đông nước Mỹ, chuyển từ bờ Đông trở lạ...",75000,Nhã Nam,2016-10-01 00:00:00,Bìa mềm,280,Nhà Xuất Bản Hội Nhà Văn,14 x 20.5 cm,,
