,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, số trang, tác giả, định dạng, nhà xuất bản
745,Bác Hồ Với Phụ Nữ Và Thiếu Niên Nhi Đồng,https://www.vinabook.com/images/thumbnails/product/240x/313056_p84310mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Khánh Linh 
                                                                                                                                            Khánh Linh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nằm trong ""Tủ Sách Bác Hồ"", Cuốn sách “Bác Hồ Với Phụ Nữ Và Thiếu Niên Nhi Đồng”, là một tác phẩm viết về Bác Hồ và cuộc đời đầy bôn ba sóng gió của người. Sách được xuất bản lần đầu năm 2017 và đã được công chúng nồng nhiệt đón nhận. Cuốn sách đã trở nên thân thiết với các bạn đọc với nhiều lứa tuổi khác nhau, đặc biệt là các cháu thiếu niên.Mời bạn đón đọc. ",65.000,,,,,,,,,,,,, 264.00 gam , 13.5 x 20.5 cm , 8935210223982 , 08/2018 , Tiếng Việt ,, Tân Việt , 256 , Khánh Linh , Bìa mềm , Nxb Lao động 
746,Gương Danh Nhân - Những Bài Học Thành Công,https://www.vinabook.com/images/thumbnails/product/240x/313631_p84421mscan0002.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Hiến Lê 
                                                                                                                                            Nguyễn Hiến Lê
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách mang đến cho độc giả những bài học kinh nghiệm quý báu về hoàn thiện bản thân và đối nhân xử thế từ câu chuyện của các danh nhân nổi tiếngTại sao cuộc đời của những người nổi tiếng và thành công luôn được kể lại mãi về sau? Đó là vì những câu chuyện đó có thể giúp bạn có thêm niềm tin, thêm động lực để sống và làm việc, hoặc tìm ở trong đó những bài học cho riêng mình.Từ cổ chí kim nhân loại chúng ta đã nhận được rất nhiều đóng góp của các danh nhân. Họ là những người có những cống hiến quan trọng giúp nhân loại thay đổi theo chiều hướng tích cực. Họ thành công trong nhiều lĩnh vực và là những người truyền cảm hứng tuyệt vời cho thế hệ đi sau. Họ là những tấm gương tuyệt vời để chúng ta noi theo.Bạn muốn hoàn thiện bản thân. Bạn muốn học hỏi những bài học về đối nhân xử thế. Bạn hãy soi vào những người đi trước và nhất là các danh nhân tiêu biểu. Trong cuốn sách “Gương danh nhân” tác giả đã gom những nhà có tài có đức trong mọi giới. Tác giả hy vọng các bạn độc giả sẽ học hỏi được những điều tốt đẹp của các vị danh nhân tiêu biểu. Qua đó các bạn có thêm nhiều bài học về nhân sinh quan, soi vào các tấm gương danh nhân để dần thay đổi và hoàn thiện bản thân mình.Cuốn sách giới thiệu tới các bạn độc giả 7 danh nhân tiêu biểu bao gồm:• Heinrinch Schliemann: Một người trong 40 năm chỉ ước ao được đào đất• Quản Trọng: Một chính trị gia biết bỏ tiểu tiết để mưu đại sự• Benjamin Franklin: Một ấn công tự học mà thành một  nhà khoa học, một nhà lập pháp và một vị thủ lĩnh• Mahatma Gandhi: Lương tâm của nhân loại• Léon Tolstoi: Một vị Á Thánh• Vương Dương Minh: Một người rất đa tài đã đạt được mục đích là học để làm thánh• Abraham Lincoln: Một người quân tử phương Tây đã lấy đức để trị dânMỗi danh nhân với đặc điểm tính cách khác nhau, thời đại khác nhau, hoàn cảnh sống khác nhau và công việc khác nhau đem đến cho độc giả những khía cạnh khác nhau trong việc đối nhân xử thế và hoàn thiện bản thân. Với ngòi miêu tả hấp dẫn về cuộc đời của từng danh nhân, Nguyễn Hiến Lê không chỉ mang đến cho người đọc những thông tin rất thú vị về cuộc sống của những danh nhân mà còn đem đến cho người đọc những bài học bổ ích về đạo đức, đạo lý ở đời.Mong rằng thông qua cuốn sách này các bạn sẽ có thêm hiểu biết về các danh nhân và tự rút ra cho bản thân mình những bài học quý giá từ câu chuyện của họ. Hãy nhanh tay sở hữu cuốn sách này để từng bước thay đổi bản thân theo chiều hướng tích cực.Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 286.00 gam , 14.5 x 20.5 cm , 8935246919231 , 07/2018 , Tiếng Việt ,, Mcbooks , 220 , Nguyễn Hiến Lê , Bìa mềm , NXB Hồng Đức 
747,"Bác Hồ Với Học Sinh, Sinh Viên",https://www.vinabook.com/images/thumbnails/product/240x/313054_p84309mscan0002.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Khánh Linh 
                                                                                                                                            Khánh Linh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nằm trong ""Tủ Sách Bác Hồ"", Cuốn sách “Bác Hồ Với Học Sinh, Sinh Viên”, là một tác phẩm viết về Bác Hồ và cuộc đời đầy bôn ba sóng gió của người. Sách được xuất bản lần đầu năm 2017 và đã được công chúng nồng nhiệt đón nhận. Cuốn sách đã trở nên thân thiết với các bạn đọc với nhiều lứa tuổi khác nhau, đặc biệt là các cháu thiếu niên.Mời bạn đón đọc.",52.000,,,,,,,,,,,,, 220.00 gam , 13.5 x 20.5 cm , 8935210223999 , 08/2018 , Tiếng Việt ,, Tân Việt , 216 , Khánh Linh , Bìa mềm , Nxb Lao động 
748,Trung Thu Cháu Nhớ Bác Hồ,https://www.vinabook.com/images/thumbnails/product/240x/313050_p84307mscan0004.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Khánh Linh 
                                                                                                                                            Khánh Linh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nằm trong ""Tủ Sách Bác Hồ"", Cuốn sách “Trung Thu Cháu Nhớ Bác Hồ”, là một tác phẩm viết về Bác Hồ và những câu chuyện của Bác với các em thiếu nhi. Sách được xuất bản lần đầu năm 2017 và đã được công chúng nồng nhiệt đón nhận. Cuốn sách đã trở nên thân thiết với các bạn đọc với nhiều lứa tuổi khác nhau, đặc biệt là các cháu thiếu niên.Mời bạn đón đọc.",47.000,,,,,,,,,,,,, 198.00 gam , 13.5 x 20.5 cm , 8935210224040 , 08/2018 , Tiếng Việt ,, Tân Việt , 192 , Khánh Linh , Bìa mềm , Nxb Lao động 
749,Gương Danh Nhân,https://www.vinabook.com/images/thumbnails/product/240x/312034_p83855mscan0021.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Hiến Lê 
                                                                                                                                            Nguyễn Hiến Lê
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tác giả cho rằng trong cái nghề cầm bút, sự may rủi chiếm một phần quan trọng, có lẽ lớn hơn phần học thức và chí hướng của tác giả. Nhà văn cũng gần gần như một người tìm mỏ. Trong đời sống may mà gặp được những tài liệu quý giá thì tức là đào được những mỏ vàng, chẳng may thì phải dùng những tài liệu tầm thường vậy. Rừng sách vô cùng mênh mông, phương pháp tìm kiếm chỉ giúp ta được một phần nào đó thôi, huống hồ nhiều khi biết chắc ở nơi nào đó có tài liệu, mà không sao tới được, chỉ còn cách tự an ủi và mừng dùm cho những bạn đã may mắn hơn mình.Mời bạn đón đọc.",58.000,,,,,,,,,,,,, 198.00 gam , 13 x 19 cm , 9786045865309 , 06/2017 , Tiếng Việt ,, Nhà sách Hoa Sen , 216 , Nguyễn Hiến Lê , Bìa mềm , Nxb Tổng hợp TP.HCM 
750,Một Người Việt Trầm Lặng (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/359441_p91548mmotnguoiviettramlang92k01.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Jean-Claude Pomonti 
                                                                                                                                            Jean-Claude Pomonti từng là phóng viên thường trú của tờ Le Monde (Pháp) ở Sài Gòn trong thời kỳ chiến tranh Việt Nam. Chứng kiến quá nhiều tổn thất cho người dân vô tội Việt Nam, đồng thời cùng đứng trên quan điểm của chính phủ Pháp, không tán thành việc Mỹ mở rộng và ",76.000,,,,,,,,,,,,, 242.00 gam , 13 x 20.5 cm , 8935086852286 , 25/08/2020 , Tiếng Việt , Nguyễn Văn Sự , Trí Việt , 208 , Jean-Claude Pomonti , Bìa mềm ,
751,Einstein - Cuộc Đời Và Vũ Trụ (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/310924_p83653mbiatruoc.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Walter Isaacson 
                                                                                                                                            Walter Isaacson
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách khai thác và công bố những tư liệu mới nhất về Einstein, làm rõ những giai đoạn, sự kiện và vấn đề trong cuộc sống cá nhân của Einstein.Cuốn sách cũng chỉ ra và làm rõ những chặng trên con đường khoa học của Einstein, cho thấy những suy tư và trăn trở của ông để đưa ra những lý thuyết vật lý làm thay đổi toàn bộ nền vật lý thế kỷ XX, cũng như cuộc tranh luận của ông với các nhà cơ học lượng tử.Tác giả đã lột tả được cá tính, tư tưởng chính trị và những đặc điểm trong trí tuệ, nhân cách của Einstein một cách sinh động.***Nhận định:""Với tài kể chuyện vô song, Isaacson đã làm nên kỳ tích là vừa giữ được tượng đài Einstein, vừa mang lại cho ông hơi thở sống động, giúp ta cảm thấy như thể ông đang bước đi giữa chúng ta. Đúng là một tác phẩm tuyệt vời.""(Doris Kearns Goodwin, tác giả cuốn Team of Rivals [Đội của các đối thủ], No Ordinary Time [Không có thời gian thông thường], và là tác giả đoạt giải Pulitzer về lịch sử.)""Isaacson đã làm được một việc xuất sắc là truyền tải được cả phần con người lẫn các chi tiết thú vị trong cuộc đời khoa học của Einstein. Đây không chỉ là một cuốn tiểu sử hấp dẫn, mà mỗi trang luôn mời chào ta đọc trang tiếp theo, mà còn là một tác phẩm tiêu biểu hàng đầu trong thể loại phi hư cấu.""(Lawrence M. Krauss, Giáo sư vật lý theo chương trình Ambrose Swasey tại Đại học Case Western Reserve và là tác giả của cuốn Hiding in the Mirror [Trốn trong gương])""Isaacson đã viết một cuốn tiểu sử chính xác, hấp dẫn và thú vị, trình bày thật khéo các văn liệu lịch sử và đưa đến nhiều hiểu biết mới mẻ về cuộc đời cũng như sự nghiệp của Einstein""(Diana Kormos Buchwald, chủ biên cuốn Tuyển tập các bài nghiên cứu của Albert Einstein và là Giáo sư lịch sử tại Caltech)Mời bạn đón đọc. ",289.000,,,,,,,,,,,,, 1100.00 gam , 16 x 24 cm , 8935270700393 , 07/2018 , Tiếng Việt , Vũ Minh Tân , Alpha books , 720 , Walter Isaacson , Bìa mềm , Nxb Thế giới 
752,Nhân Vật Nổi Tiếng Thế Giới - Các Lãnh Tụ Lẫy Lừng,https://www.vinabook.com/images/thumbnails/product/240x/359280_p91456mnvntlanhtu.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Eleonora Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Renzo Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mong muốn được sống tử tế và sống có ích là điều then chốt tạo
nên một cuộc sống hạnh phúc cho bạn trong tương lai. Các nhà lãnh đạo tự cổ chí
kim đều mang trong mình những tố chất khơi gợi cảm hứng ấy và truyền cho bạn động
lực bước lên những nấc thang mới. Cuốn sách này không chỉ là tiểu sử khô cứng của 300 vị lãnh
tụ từ Đông sang Tây, sách tập trung mô tả những điểm nhấn xuất sắc trong cuộc đời
họ. Những điểm sáng ấy sẽ trở thành trời sao lấp lánh soi cho bạn nhìn rõ con
đường của mình trong tương lai. Học hỏi những nhà lãnh đạo xuất sắc của toàn nhân loại vô
cùng hữu ích cho sự trưởng thành của bạn! Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 1320.00 gam , 24 x 31 cm , 8935235223707 , 20/08/2020 , Tiếng Việt , Cao Thu Thủy , Nhã Nam , 126 ," Eleonora Barsotti , Renzo Barsotti ", Bìa cứng , Nxb Hà Nội 
753,Nhân Vật Nổi Tiếng Thế Giới - Khoa Học Và Phát Minh,https://www.vinabook.com/images/thumbnails/product/240x/359278_p91454mnvntkhoahoc.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Renzo Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Eleonora Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nhắc đến khoa học, hẳn chúng ta sẽ nghĩ ngay đến kiến thức.
Nhưng cuốn sách này không chỉ chứa những kiến thức khô cứng. Sách mở ra cho bạn
thấy nhân sinh quan tươi sáng và tinh thần vươn lên của các vĩ nhân, sách còn kể
lại những trải nghiệm xây đắp nên sự vĩ đại của họ. Cuốn sách này miêu tả ngắn gọn cuộc đời và ý chí của hơn 300
vĩ nhân ghi dấu bằng các kỷ lục xuất sắc trong nhiều lĩnh vực khoa học. Việc học
hỏi tri thức sẽ diễn ra rất tự nhiên khi bạn rung động và cảm phục những tấm
gương xuất sắc của nhân loại. Khoa học là để phụng sự cuộc sống, hãy cảm nhận hơi thở khoa
học trong từng giây phút cuộc đời các vĩ nhân!Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 1265.00 gam , 24 x 31 cm , 8935235223684 , 03/2020 , Tiếng Việt , Cao Thu Thủy , Nhã Nam , 126 ," Renzo Barsotti , Eleonora Barsotti ", Bìa cứng , Nxb Hà Nội 
754,Nhân Vật Nổi Tiếng Thế Giới - Văn Hóa Và Nghệ Thuật,https://www.vinabook.com/images/thumbnails/product/240x/359277_p91453mnvntvhnt.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Renzo Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Eleonora Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Các hoạt động nghệ thuật và văn hóa giúp chúng ta giải tỏa
căng thẳng trong cuộc sống và còn từng bước vun đắp tâm hồn ta. Cuốn sách này giới thiệu hơn 300 người nổi tiếng trong nhiều
lĩnh vực văn hóa, nghệ thuật, ca hát, biểu diễn. Ta sẽ hiểu kỹ hơn về cuộc đời,
sự nghiệp, những thăng trầm của họ trước và sau ánh đèn sân khấu. Những điểm
chung của họ như tinh thần luôn tự làm mới mình, nhiệt huyết cống hiến cho công
chúng, sự học hỏi không ngừng… sẽ là nguồn động viên lớn cho mỗi chúng ta!Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 1300.00 gam , 24 x 31 cm , 8935235223691 , 03/2020 , Tiếng Việt , Cao Thu Thủy , Nhã Nam , 126 ," Renzo Barsotti , Eleonora Barsotti ", Bìa cứng , Nxb Hà Nội 
755,Lời Non Nước,https://www.vinabook.com/images/thumbnails/product/240x/356862_p91035mloi.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Đào Thản 
                                                                                                                                            Đào Thản
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Lời non nước - là những lời hay ý đẹp, luận định, luận điểm, quan niệm mang tính chất triết lí về sự đời, về thực tế cuộc sống và chiến đấu của Hồ Chủ tịch, được PGS. Đào Thản sưu tầm và tuyển chọn, xin trân trọng giới thiệu cùng bạn đọc. Sách thuộc bộ sách DI SẢN HỒ CHÍ MINHMời bạn đón đọc. ",70.000,,,,,,,,,,,,, 198.00 gam , 13 x 20.5 cm , 8934974166467 , 03/2020 , Tiếng Việt ,, NXB Trẻ , 156 , Đào Thản , Bìa mềm , Nxb Trẻ 
756,Bộ Sách Chân Dung Những Người Thay Đổi Thế Giới - Walt Disney Là Ai? (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/349898_p90130mtibanwalt.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nancy Harrison     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Whitney Stewart     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Nếu bạn dám mơ, bạn sẽ làm được.”- Một cậu bé thích những trò chơi khăm.- Một tài xế lái xe cứu thương ở Pháp trong Chiến tranh thế giới thứ nhất.- Người sáng tạo ra chuột Mickey- Tất cả những điều trên!Và còn điều gì nữa?Cùng tìm hiểu về người đã tạo ra giấc mơ của trẻ em trên toàn thế giới – Walt DisneyMời bạn đón đọc. ",49.000,,,,,,,,,,,,, 132.00 gam , 13 x 19 cm , 8935251413830 , 03/11/2019 , Tiếng Việt , Hương Giang , Alpha books , 108 ," Nancy Harrison , Whitney Stewart ", Bìa mềm , NXB Dân Trí 
757,Stephen Hawking - Một Trí Tuệ Không Giới Hạn,https://www.vinabook.com/images/thumbnails/product/240x/345814_p88494mstephen.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Một quyển sách phù hợp cho những độc giả yêu thích bộ môn khoa học vũ trụ, hay vẫn luôn dõi theo những tấm gương vượt khó. Cố Giáo sư Stephen Hawking là một tên tuổi đã gắn liền với cả hai điều này. Tuy ông đã ra đi, nhưng các biên tập viên cũng như tác giả của BBC Focus đã sớm hoàn thành việc biên soạn quyển sách này, nói về những khó khăn, trắc trở của ông trong sự nghiệp vật lý; những vật lộn tính toán với thời gian, Lỗ đen và vũ trụ; những thất bại, và cách ông học hỏi từ thất bại; những trăn trở của ông về tương lai loài người trước các nguy cơ. Nói ngắn gọn, nó chứa đựng những nội dung tâm tư cuối cùng mà ông muốn chia sẻ cho ngành Vật lý, cũng như với cả xã hội.Ngoài ra, sách còn nói về sự đấu tranh không ngừng nghỉ của ông để thoát khỏi sự kiềm hãm của bệnh tật, nhằm sống một cuộc đời no đủ hơn phần lớn những con người lành lặn như chúng ta, cũng như trước những toan tính cắt giảm ngành Y tế của các nhà lập pháp có thể sẽ tước đi quyền lợi từ những người cần được nhận hỗ trợ y tế như ông.Bên cạnh đó, trong sách còn chứa cách nhìn nhận của những tên tuổi trong ngành vật lý đương thời về con người, sự nghiệp và những đóng góp của ông cho ngành, đất nước và toàn thể xã hội.Mời bạn đón đọc. ",189.000,,,,,,,,,,,,, 374.00 gam , 21.6 x 28.6 cm , 8935251411331 , 26/08/2019 , Tiếng Việt , Nguyễn Hữu Nhã , Alpha books , 96 , Nhiều tác giả , Bìa mềm , NXB Tri thức 
758,Hồ Chí Minh - Nhà Ngụ Ngôn Kiệt Xuất,https://www.vinabook.com/images/thumbnails/product/240x/347272_p88682mhochi.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Thanh Tú 
                                                                                                                                            Nguyễn Thanh Tú
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ngụ ngôn Hồ Chí Minh lấy điểm tựa là ngụ ngôn dân gian và các ngụ ngôn bác học nổi tiếng trên thế giới nên rất sâu sắc. Ví dụ các truyện ""Con rùa"", ""Đồng tâm nhất trí""… Truyện ""Con rùa"" không chỉ hướng sự tố cáo đến giai cấp thống trị mà còn vạch ra tình trạng nô lệ thảm hại của kẻ bị trị; ""Đồng tâm nhất trí"" không chỉ là sự nhất trí chung chung trên lời nói mà là sự đoàn kết trên cơ sở sự thấu hiểu sâu sắc… Dễ nhận thấy trong thế giới ngụ ngôn Hồ Chí Minh có truyện ngụ ngôn (Con rùa, Đồng tâm nhất trí…), kịch ngụ ngôn (Con rồng tre…), thơ ngụ ngôn (Hòn đá, Chơi giăng…), là mẩu chuyện, là lời nói, là hình tượng mang tính ngụ ngôn. Và có nhiều phong cách: Là sự đả kích, lên án, tố cáo; Là những bài học về đường lối cách mạng và kháng chiến; Là những bài học giáo dục tinh tế; Là những bài học đối ngoại, là phương tiện giao đãi bạn bè vui vẻ, ý nhị. Đây chính là những căn cứ để tôi đặt tên cho chuyên luận của mình là: ""Hồ Chí Minh - Nhà ngụ ngôn kiệt xuất"". [Nguyễn Thanh Tú]Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 308.00 gam , 13.5 x 20.5 cm , 9786049763380 , 09/2019 , Tiếng Việt ,, NXB Văn Học , 272 , Nguyễn Thanh Tú , Bìa mềm , Nxb văn học 
759,Donald Trump Dưới Góc Nhìn Của Tâm Lý Học,https://www.vinabook.com/images/thumbnails/product/240x/341266_p87967mdonaldtrumpduoigocnhintamlyhoc01.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Bandy X. Lee     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Có thể coi cuốn sách này là một tập tài liệu chuyên môn về sức khỏe tâm thần, tâm lý học, nhưng không làm cho người đọc thấy hoảng sợ, vì lý thuyết được gắn với một tình huống nghiên cứu thực tiễn, điển hình.Đồng thời đây cũng là tiếng nói của những công dân có chuyên môn, ý thức rất rõ về “trách nhiệm cảnh báo” của mình; nhưng lại bị kẹt giữa hai nghĩa vụ nghề nghiệp hoàn toàn đối lập nhau, và việc vi phạm bất cứ nghĩa vụ nào cũng khiến họ bị coi là hành xử thiếu đạo đức.Thứ nhất, họ có nghĩa vụ im lặng về đánh giá của họ với bất kỳ ai nếu người đó chưa cho phép họ lên tiếng công khai. Thứ hai, họ có nghĩa vụ lên tiếng và thông báo cho những người khác nếu họ có cơ sở để tin rằng một người nào đó có thể gây nguy hiểm cho những người khác.Nhân vật được đưa ra làm điển hình trong cuốn sách là Donald Trump, tổng thống đương nhiệm của Hoa Kỳ, vì những hành xử có vẻ bất thường của ông.Tuy nhiên, tác giả Bandy X. Lee đã chỉ ra rằng, “điểm chính của cuốn sách này không phải là về ông Trump, mà về bối cảnh lớn hơn dẫn tới việc ông lên làm tổng thống, và về phần đông dân số mà ông gây được ảnh hưởng bởi vị thế của ôngBà đã đặt ngược lại câu hỏi, rằng việc Donald Trump đắc cử tổng thống Mỹ không phải vấn đề, mà vấn đề nằm ở chính đám đông dân số đã bầu cho ông. Và, “Sự nổi lên của một cá nhân với những khiếm khuyết như thế tự nó nói lên tình trạng sức khỏe và sự thịnh vượng của quốc gia, và chúng ta có thể phản ứng thế nào: cải thiện nó hay làm nó suy yếu thêm nữa?”“Không cuốn sách nào được xuất bản trong mùa thu này nguy hiểm hơn, quan trọng hơn và gây tranh cãi hơn cuốn sách này… sâu sắc, sáng tỏ và đầy lo lắng.”      - Bill Moyers“Lập trường của các chuyên gia tâm thần học này cần đến lòng can đảm, và những kết luận của họ thật thuyết phục.”      - The Washington PostMời bạn đón đọc. ",180.000,,,,,,,,,,,,, 682.00 gam , 15.5 x 24 cm , 8935235222311 , 08/07/2019 , Tiếng Việt , Trần Trọng Hải Minh , Nhã Nam , 440 , Bandy X. Lee , Bìa mềm , NXB Tri thức 
760,Hồ Chí Minh: Từ Việc Nhỏ - Người Học Trò Nhỏ Nhìn Từ Thế Kỷ XXI,https://www.vinabook.com/images/thumbnails/product/240x/340484_p87871m15.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Phạm Văn Bảy     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cả cuộc đời của Bác là một kho sách dễ hiểu. Tập hợp vô vàn việc nhỏ, câu nói với các giới, các tầng lớp đồng bào mà Người làm, tiếp xúc hằng ngày trong tư cách người lãnh đạo tối cao của đất nước từ những ngày đầu tại Pác Bó",95.000,,,,,,,,,,,,, 440.00 gam , 16 x 24 cm , 9786048952259 , 12/2018 , Tiếng Việt ,, Phương Nam , 376 , Phạm Văn Bảy , Bìa mềm , NXB Hồng Đức 
761,Bộ Sách Chân Dung Những Người Thay Đổi Thế Giới - Julius Caesar Là Ai? (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/338849_p87664mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Tim Foley     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nico Medina     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bộ sách “Đó là ai?” cung cấp rất nhiều thông tin thú vị và tuyệt vời về những nhân vật nổi tiếng trong lịch sử lẫn hiện tại.Marie Curie chắc chắn là cái tên nổi tiếng và rất quen thuộc với chúng ta. Thậm chí ở Việt Nam cũng có trường học mang tên bà. Nhưng có ai biết rằng, bà đã từng có một tuổi thơ rất nghèo khó và phải làm người làm thuê cho gia đình khác. Nhưng nếu chỉ vì thế thì lý do gì mà một cô bé làm thuê lại được cả thế giới tôn vinh như vậy?Hay như Galileo – một cuốn sách cực kỳ thú vị cho những ai thích ngắm những vì sao lấp lánh trên bầu trời. Thật kì lạ khi một người suýt nữa trở thành bác sỹ lại chỉ thích nhìn lên bầu trời mỗi ngày.Liệu có phải vì cha ông là nhạc sỹ nên ông cũng có một tâm hồn nghệ sỹ như vậy không? Hay là còn có một lý do nào khác? Một người vô cùng sùng đạo lại phải đối đầu với nhà thờ, một người phải từ bỏ tất cả những gì mà chính ông biết đó là sự thật, trong hoàn cảnh đó, Galileo đã xử lý như thế nào?Và còn rất nhiều những vị danh nhân khác đều có một đặc điểm đặc biệt như Albert Einstein nổi tiếng đãng trí với mái tóc khác người, Newton với quả táo “hấp dẫn”… Mỗi người trong số họ đều có một cuộc đời và một sự nghiệp trong những lĩnh vực riêng. Họ đều đã từng là một người bình thường như chúng ta, và rồi họ trở thành những người thay đổi cả thể giới. Thật đáng khâm phục!Hãy cùng đọc bộ sách “Đó là ai?” để hiểu được những thăng trầm, những biến cố, những thành công trong cuộc đời của mỗi thiên tài. Từng câu, từng chữ miêu tả một cách chân thực nhất nội tâm cảm xúc nhân vật cũng những hình ảnh minh họa sống động giúp cho bất kỳ ai cũng có cảm nhận như chúng ta đang được chính những vị danh nhân ấy kể chuyện cho nghe vậy. Biết đâu trong số chúng ta sau khi đọc xong bộ sách này sẽ có người sẽ trở thành những Albert Einstein, Newton, Edison thế hệ tiếp theo!Mời bạn đón đọc. ",39.000,,,,,,,,,,,,, 132.00 gam , 13 x 19 cm , 8935251413212 , 04/2019 , Tiếng Việt , Lê Hải , Alpha books , 112 ," Tim Foley , Nico Medina ", Bìa mềm , NXB Dân Trí 
